,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
560,443,42680,3734177239,2386802957,8,32768,25572,"(1131068470, 2746347767)",0
561,443,42680,3734177239,2386802957,8,32768,25356,"(1131069428, 2746347767)",0
562,42680,443,2386802957,3734177344,8,10043,45967,"(2746349034, 1131069428)",5
563,443,42680,3734177344,2386802957,8,32768,17423,"(1131070374, 2746349034)",0
564,42680,443,2386802957,3734177449,8,10043,44139,"(2746349811, 1131070374)",5
565,443,42680,3734177449,2386802957,8,32768,13361,"(1131072189, 2746349811)",0
566,42680,443,2386802957,3734177586,8,10043,40385,"(2746351613, 1131072189)",5
567,443,42680,3734177586,2386802957,8,32768,9071,"(1131075474, 2746351613)",0
568,42680,443,2386802957,3734177691,8,10043,33677,"(2746354931, 1131075474)",5
569,42680,443,2386802957,3734177691,8,10043,38590,"(2746355468, 1131075474)",5
570,443,42680,3734177691,2386803334,8,32768,9383,"(1131076129, 2746355468)",0
571,443,42680,3734177691,2386803334,8,32768,5174,"(1131076169, 2746355468)",0
572,42680,443,2386803334,3734177780,8,10043,31836,"(2746355611, 1131076169)",5
573,443,42680,3734177780,2386803334,8,32768,23784,"(1131076575, 2746355611)",0
574,42680,443,2386803334,3734177885,8,10043,30776,"(2746356160, 1131076575)",5
575,42680,443,2386803334,3734177885,8,10043,15149,"(2746356161, 1131076575)",5
576,443,42680,3734177885,2386803567,8,32768,7569,"(1131076823, 2746356161)",0
577,443,42680,3734177885,2386803567,8,32768,41135,"(1131076857, 2746356161)",0
578,42680,443,2386803567,3734177974,8,10043,29910,"(2746356422, 1131076857)",5
579,42680,443,2386803567,3734177974,8,10043,55887,"(2746356790, 1131076857)",5
580,443,42680,3734177974,2386803912,8,32768,5878,"(1131077451, 2746356790)",0
581,42680,443,2386803912,3734177974,8,10043,44912,"(2746356979, 1131077451)",5
582,443,42680,3734177974,2386803912,8,32768,38671,"(1131077501, 2746356790)",0
583,42680,443,2386804209,3734178063,8,10043,27978,"(2746356979, 1131077501)",5
584,443,42680,3734178063,2386804209,8,32768,5113,"(1131077641, 2746356979)",0
585,443,42680,3734178063,2386804209,8,32768,27734,"(1131077672, 2746356979)",0
586,42680,443,2386804209,3734178152,8,10043,27509,"(2746357188, 1131077672)",5
587,39060,443,3202259008,929523551,8,501,27684,"(2240236399, 329520986)",0
588,39060,443,3202259408,929523551,8,501,47998,"(2240236400, 329520986)",0
589,443,35348,2843414656,4076022537,8,70,25946,"(1794638268, 2970680826)",1
590,35348,443,4076022537,2843414681,8,501,31654,"(2970740995, 1794638268)",1
591,443,39060,929523551,3202259460,8,1452,26327,"(329551074, 2240236399)",0
592,443,39060,929523551,3202259460,8,1452,28127,"(329551075, 2240236399)",0
593,39060,443,3202259460,929523586,8,501,27129,"(2240236512, 329551075)",0
594,443,39060,929523586,3202259460,8,1452,24818,"(329551078, 2240236399)",0
595,39060,443,3202259460,929523715,8,501,26990,"(2240236519, 329551078)",0
596,443,35348,2843414681,4076022566,8,70,8249,"(1794638635, 2970740995)",1
597,443,42680,3734178152,2386804209,8,32768,7303,"(1131080698, 2746357188)",0
598,42680,443,2386804209,3734178257,8,10043,21101,"(2746360465, 1131080698)",5
599,42680,443,2386804209,3734178257,8,10043,12700,"(2746360547, 1131080698)",5
600,443,42680,3734178152,2386804209,8,32768,6875,"(1131081126, 2746357188)",0
601,42680,443,2386804538,3734178257,11,10043,18601,"(2746360552, 1131081126)",5
602,443,42680,3734178257,2386804538,8,32768,62989,"(1131081209, 2746360547)",0
603,443,42680,3734178257,2386804538,8,32768,15205,"(1131081288, 2746360552)",0
604,42680,443,2386804538,3734178346,8,10043,19867,"(2746360691, 1131081288)",5
605,80,43690,3806444828,3238678908,8,32768,10721,"(1601983294, 2218077012)",1
606,43690,80,3238678908,3806445062,8,6160,8206,"(2218102100, 1601983294)",1
607,80,43690,3806445062,3238679467,8,32768,51231,"(1601983381, 2218102100)",1
608,48164,80,476553049,0,10,64240,10918,"(113371043, 0)",1
609,80,48164,2849252341,476553050,10,64768,59951,"(2928984606, 113371043)",1
610,48164,80,476553050,2849252342,8,502,4862,"(113371268, 2928984606)",1
611,48164,80,476553050,2849252342,8,502,20823,"(113371268, 2928984606)",1
